code,artist,title,url,notes
9900857,Air Supply,GOODBYE,https://www.youtube.com/watch?v=4IJmoGtf6tA,
9900858,Air Supply,HAVING YOU NEAR ME,https://www.youtube.com/watch?v=sSGLsu0o_xE,
9900859,Air Supply,HAVING YOU NEAR ME,https://www.youtube.com/watch?v=1NZEi328XJc,
9900860,Air Supply,HERE I AM,https://www.youtube.com/watch?v=RdE40gcLwog,
9900861,Air Supply,I CAN WAIT FOREVER,https://www.youtube.com/watch?v=yIg8NxNftpM,
9900862,Air Supply,I CAN'T LET GO,https://www.youtube.com/watch?v=qa2l_rQ_www,
9900863,Air Supply,MAKING LOVE OUT OF NOTHING AT ALL,https://www.youtube.com/watch?v=OegXkHh4Fxk,
9900864,Air Supply,NOW AND FOREVER,https://www.youtube.com/watch?v=9Ml4EXcTX4E,
9900865,Air Supply,SOMEONE WHO BELIEVES IN YOU,https://www.youtube.com/watch?v=ocba8_LwgKI,
9900866,Air Supply,TWO LESS LONELY PEOPLE,https://www.youtube.com/watch?v=FavqaYTVOhU,
9900867,Air Supply,WITHOUT YOU,https://www.youtube.com/watch?v=QggM-7YkAuo,
9900868,Alamid,YOUR LOVE,https://www.youtube.com/watch?v=uMFP88o-DFA,
9900869,Alan Walker,Sing Me to Sleep,https://www.youtube.com/watch?v=W4yycRzwhwY,Original Key
9900870,Alan Walker & Sasha Alex Sloan,Hero,https://www.youtube.com/watch?v=FpXoqIlUm9E,Original Key
9900871,Alan Walker Remix,Legends Never Die,https://www.youtube.com/watch?v=OkUe4ZsJLH0,Original Key
9900872,Albert Hammond,WHEN I'M GONE,https://www.youtube.com/watch?v=Jux_i5JwEoM,
9900873,Alec Benjamin,Let Me Down Slowly,https://www.youtube.com/watch?v=uiwxt90YhS8,Original Key
9900874,Alec Benjamin,Let Me Down Slowly,https://www.youtube.com/watch?v=B4N0rMxJSHM,Original Key
9900875,Alex Warren,Ordinary,https://www.youtube.com/watch?v=MARdyVDRm-Y,Original Key
9900876,Alexandra Burke,Hallelujah,https://www.youtube.com/watch?v=SnSB9UvyXtg,Lower Key
9900877,Alexandra Burke,Hallelujah,https://www.youtube.com/watch?v=XmrNw7a_psc,Higher Key
9900878,Alexandra Burke,Hallelujah,https://www.youtube.com/watch?v=je_YaxVC24Q,Original Key
9900879,Alexandra Burke,Hallelujah,https://www.youtube.com/watch?v=i2F0OkTQ-2w,"Lower Key, Piano, Acoustic"
9900880,Alexandra Burke,Hallelujah,https://www.youtube.com/watch?v=GFGQcgljqYE,"Higher Key, Piano, Acoustic"
9900881,Alexandra Burke,Hallelujah,https://www.youtube.com/watch?v=GAiPrY9gkYg,"Original Key, Piano, Acoustic"
9900882,Alias,MORE THAN WORDS CAN SAY,https://www.youtube.com/watch?v=jLvvM7HWsLs,
9900883,Alice Cooper,Elected,https://www.youtube.com/watch?v=G4ymIy5BuSk,
9900884,Alice Cooper,Feed My Frankenstein,https://www.youtube.com/watch?v=JWgx4NVjnjA,
9900885,Alice Cooper,I'm Eighteen,https://www.youtube.com/watch?v=JJ8b53nBAJ8,
9900886,Alice Cooper,Poison,https://www.youtube.com/watch?v=d9XncudStYg,
9900887,Alice Cooper,Welcome To My Nightmare,https://www.youtube.com/watch?v=v02587ZJYVA,
9900888,Alice In Chains,Bleed The Freak,https://www.youtube.com/watch?v=DHeq2xHqNGU,UVR
9900889,Alice In Chains,Brush Away,https://www.youtube.com/watch?v=4rM_ytTEtrI,UVR
9900890,Alice In Chains,God Smack,https://www.youtube.com/watch?v=70-G4LQZkZc,UVR
9900891,Alice In Chains,Got Me Wrong,https://www.youtube.com/watch?v=MBWQMtaTycM,UVR
9900892,Alice In Chains,Grind,https://www.youtube.com/watch?v=tmVFz6bCQ9U,
9900893,Alice In Chains,Heaven Beside You,https://www.youtube.com/watch?v=OUexV2TT_bk,
9900894,Alice In Chains,Heaven Beside You (Unplugged),https://www.youtube.com/watch?v=cZY8jfI0Am4,UVR
9900895,Alice In Chains,"Love, Hate, Love",https://www.youtube.com/watch?v=vb1zCp8l6Y8,UVR
9900896,Alice In Chains,Rain When I Die,https://www.youtube.com/watch?v=IjOMDhGNCUQ,UVR
